,name,album,artist,id,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,track_genre_split,mood_Calm,mood_Energetic,mood_Happy,mood_Sad
64,Safe And Sound,In A Tidal Wave Of Mystery (Deluxe Edition),Capital Cities,spotify:track:6BnONjR7itGMEqwxKTIlRM,0,192789,0.653,0.00021,0.822,0.0047,0.0838,0.762,-4.857,0.033,117.949,0.0,5.0,"['metropopolis', 'modern rock']",0.032384586,0.7360312,0.22536503,0.006219124
66,Sorry,Sex & Cigarettes,Toni Braxton,spotify:track:6JHLoGr7Gss3HhBp5RdKiH,37,236000,0.699,0.00993,0.68,0.0,0.11,0.578,-3.607,0.0276,94.979,4.0,4.0,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']",0.024215331,0.66566515,0.2932537,0.016865762
67,I Begin to Wonder,Neon Nights (Rhino Re-issue),Dannii Minogue,spotify:track:2LWJYvdBdcG8JMFQ1zOduR,0,219999,0.768,0.0234,0.741,7.2e-05,0.242,0.95,-9.252,0.0423,125.06,1.0,4.0,"['australian dance', 'australian pop', 'europop', 'talent show']",0.12621886,0.17653733,0.6849719,0.012271836
69,Impossible,James Arthur (Deluxe),James Arthur,spotify:track:5yVIlYEHZxQVLyInCdldoS,81,209440,0.376,0.135,0.695,0.0,0.11,0.302,-4.782,0.0933,169.533,0.0,4.0,"['pop', 'talent show', 'uk pop']",0.13260575,0.34126213,0.37621266,0.14991948
72,working,working,"Tate McRae, Khalid",spotify:track:31sSFHIe4NaxltVFOEIcTa,65,210219,0.783,0.282,0.435,0.0,0.0833,0.512,-7.78,0.0588,106.974,7.0,4.0,"['alt z', 'pop', 'pop', 'pop r&b']",0.12424179,0.1520392,0.69903326,0.024685778
73,Love Me Like You,Love Me Like You,Little Mix,spotify:track:2fykwqa2RQzI6nBCwhTfqD,0,197800,0.783,0.199,0.67,0.0,0.274,0.842,-3.935,0.0432,106.05,7.0,4.0,"['girl group', 'pop', 'talent show', 'uk pop']",0.022365468,0.29526973,0.6756623,0.0067025395
76,Always,Nine,Samantha Jade,spotify:track:13j7S1J1MVDY3z2Ljl9O1H,30,181880,0.648,0.00266,0.72,0.0,0.0717,0.594,-3.514,0.05,108.012,11.0,4.0,"['australian pop', 'australian talent show']",0.011511695,0.6211087,0.36369964,0.0036799489
77,Nasty Girl - Main,Players Paradise,Nitty,spotify:track:04iCsRraf8cH2HnS26BuwY,0,248466,0.937,0.0566,0.98,0.000373,0.0273,0.939,-5.037,0.0473,122.007,2.0,4.0,['bronx hip hop'],0.0045841406,0.8501448,0.14511593,0.00015508066
78,Always On Time,Pain Is Love,"Ja Rule, Ashanti",spotify:track:4hrae8atte6cRlSC9a7VCO,52,245133,0.839,0.208,0.706,0.0,0.242,0.839,-6.104,0.199,96.673,5.0,4.0,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",0.0015817492,0.7843945,0.21399635,2.7389844e-05
79,Never Gonna Fall in Love Again - Live,Live At The George Ballroom,Mark Holden,spotify:track:7ddUIAiI2kH0rLBbi27wrH,10,300240,0.557,0.776,0.38,0.0667,0.0989,0.569,-12.645,0.0259,99.83,0.0,4.0,[],0.5001721,0.03008523,0.044471506,0.42527112
